,State,premature_deathYears_of_Potential_Life_Lost_Rate,adult_smoking_% Smokers,excessive_drinking_% Excessive Drinking,food_environment_index_Food Environment Index,uninsured_% Uninsured,unemployed_% Unemployed,nr of FFchains,poor_physical_health_days_Average Number of Physically Unhealthy Days,poor_mental_health_days_Average Number of Mentally Unhealthy Days,per_gop,is_obese
1,Alabama,7830.0,20,14,6.7,10.0,2,0.0,4.5,4.9,0.714368023046453,True
2,Alabama,7680.0,19,19,7.8,13.0,2,19.0,3.6,4.8,0.7617137282433283,False
3,Alabama,11477.0,26,12,5.5,14.0,3,1.0,5.6,5.6,0.5345122646891044,True
4,Alabama,12173.0,23,15,7.6,11.0,3,0.0,4.9,5.3,0.7842626367899947,True
5,Alabama,11096.0,23,16,7.9,14.0,2,3.0,5.0,5.4,0.8957155284906481,True
6,Alabama,10802.0,25,12,5.0,12.0,3,0.0,5.5,5.4,0.2484283546499024,True
7,Alabama,12848.0,23,13,6.8,12.0,3,0.0,5.4,5.7,0.5752529510961214,True
8,Alabama,11327.0,21,14,6.6,11.0,3,7.0,4.9,5.7,0.6884843967597042,True
9,Alabama,10371.0,23,14,6.7,12.0,2,4.0,5.0,5.5,0.5726903951845067,True
10,Alabama,11737.0,24,16,7.7,13.0,2,1.0,4.9,5.6,0.8603365580034144,True
11,Alabama,10109.0,23,15,7.6,16.0,2,2.0,4.9,5.5,0.8329880890730191,True
12,Alabama,11232.0,23,14,6.1,13.0,4,0.0,5.2,5.6,0.5755627009646302,True
13,Alabama,11294.0,24,14,5.7,13.0,5,5.0,5.3,5.6,0.5575942139322421,True
14,Alabama,10820.0,25,16,7.5,16.0,3,1.0,5.1,5.7,0.8082251082251082,True
15,Alabama,11428.0,24,16,7.2,14.0,3,0.0,4.9,5.5,0.8971910889719109,True
16,Alabama,8355.0,21,16,7.2,13.0,2,0.0,4.6,4.8,0.7586531986531987,True
17,Alabama,10467.0,22,16,7.0,11.0,3,1.0,4.6,5.3,0.688625116545937,True
18,Alabama,13182.0,26,13,5.8,12.0,4,0.0,5.4,5.8,0.5343890700201832,True
19,Alabama,12687.0,25,14,6.7,13.0,3,0.0,5.2,5.4,0.6627121737543348,True
20,Alabama,11526.0,23,15,6.9,12.0,3,4.0,5.0,5.4,0.8368330464716007,True
21,Alabama,10407.0,23,14,6.0,13.0,2,0.0,5.0,5.5,0.7350763185733716,True
22,Alabama,10115.0,23,15,7.6,14.0,2,2.0,4.9,5.2,0.8812214761893383,True
23,Alabama,10261.0,21,16,6.3,11.0,3,0.0,4.7,5.1,0.724642820954504,True
24,Alabama,13776.0,25,12,5.3,11.0,5,0.0,5.3,5.4,0.3092252575011195,True
25,Alabama,10537.0,25,13,7.3,19.0,2,1.0,5.5,5.9,0.8436776127537812,False
26,Alabama,8112.0,19,15,7.4,10.0,2,0.0,4.2,4.9,0.7351693882524982,True
27,Alabama,11843.0,25,15,6.3,15.0,3,8.0,5.3,5.6,0.6831552482715273,True
28,Alabama,11495.0,23,15,6.7,12.0,3,4.0,4.8,5.4,0.7443848474689909,True
29,Alabama,10521.0,24,15,7.1,12.0,3,0.0,5.1,5.5,0.8327629477526808,True
30,Alabama,9762.0,23,15,7.4,16.0,2,2.0,5.1,5.3,0.8249324216886628,True
31,Alabama,11998.0,25,15,7.0,14.0,2,1.0,5.6,5.7,0.8647269828616979,True
32,Alabama,12918.0,27,10,3.8,12.0,5,0.0,6.0,5.8,0.1832460732984293,True
33,Alabama,13672.0,24,12,6.3,11.0,3,0.0,5.3,5.6,0.4026760918959858,True
34,Alabama,9576.0,23,15,7.6,14.0,3,0.0,4.8,5.4,0.7105829210582921,True
35,Alabama,9244.0,22,13,6.9,13.0,3,10.0,4.9,5.3,0.7064301648149351,True
36,Alabama,11126.0,24,15,7.1,13.0,3,4.0,5.5,5.7,0.8322051108478592,True
37,Alabama,11082.0,18,17,6.6,11.0,2,25.0,4.1,4.7,0.426097444207115,True
38,Alabama,11152.0,24,15,7.1,12.0,3,0.0,5.2,5.8,0.858334491867093,True
39,Alabama,8624.0,20,16,7.4,12.0,3,3.0,4.5,5.1,0.7154198335551095,False
40,Alabama,11511.0,24,15,7.4,14.0,3,0.0,5.0,5.5,0.7686357681991142,True
41,Alabama,7241.0,19,17,6.7,11.0,2,5.0,4.6,5.1,0.590924995451301,False
42,Alabama,7447.0,20,16,7.7,11.0,2,3.0,4.4,4.8,0.7035645374225652,True
43,Alabama,16340.0,26,11,5.0,12.0,5,1.0,5.6,5.7,0.2686174103877103,True
44,Alabama,13612.0,23,11,4.9,12.0,4,2.0,5.1,5.3,0.1766594061676029,True
45,Alabama,8089.0,17,15,7.5,9.0,2,13.0,3.8,4.4,0.5277074658438031,True
46,Alabama,13500.0,23,13,5.7,11.0,3,1.0,5.1,5.4,0.4901834862385321,True
47,Alabama,10537.0,24,15,7.0,13.0,3,1.0,5.1,5.6,0.8839718983124502,True
48,Alabama,9563.0,23,15,7.2,14.0,2,0.0,5.1,5.4,0.8369940738872778,True
49,Alabama,10290.0,21,17,6.6,13.0,3,16.0,4.6,4.9,0.5527450809110961,True
50,Alabama,12250.0,26,13,5.4,14.0,4,0.0,5.5,5.6,0.5762092238470191,True
51,Alabama,9500.0,20,13,6.0,12.0,3,11.0,4.7,4.9,0.3360029857069367,True
52,Alabama,9710.0,21,14,7.5,13.0,2,5.0,4.4,5.1,0.7383194966680318,True
53,Alabama,14437.0,27,11,5.1,12.0,5,0.0,6.2,5.9,0.2560229445506692,True
54,Alabama,8848.0,24,13,6.8,12.0,3,0.0,5.2,5.3,0.5786098469176665,True
55,Alabama,10633.0,21,14,6.5,14.0,3,0.0,5.0,5.3,0.5810273824145654,True
56,Alabama,12343.0,23,14,7.1,13.0,3,0.0,5.1,5.4,0.7897942234935867,True
57,Alabama,11200.0,22,14,6.7,12.0,2,4.0,4.9,5.4,0.462468939003235,True
58,Alabama,9242.0,21,15,7.9,12.0,2,8.0,4.6,5.3,0.8137980693503747,True
59,Alabama,5942.0,15,18,8.3,8.0,2,9.0,3.6,4.4,0.6933449325793823,True
60,Alabama,13369.0,23,11,5.4,13.0,4,0.0,5.3,5.4,0.2540136703226832,True
61,Alabama,12029.0,24,13,6.8,12.0,3,0.0,5.5,5.6,0.623475310545944,True
62,Alabama,10208.0,24,14,7.0,12.0,3,1.0,4.7,5.3,0.7128293077985803,True
63,Alabama,8535.0,20,15,7.3,10.0,2,9.0,4.4,5.0,0.566883289712993,True
64,Alabama,14797.0,25,14,6.8,13.0,3,2.0,5.1,6.0,0.8341995508501765,True
65,Alabama,10145.0,24,14,6.7,14.0,4,0.0,5.3,5.6,0.7395223073456512,False
66,Alabama,16503.0,26,11,3.2,11.0,7,0.0,5.7,5.8,0.3105200745383703,True
67,Alabama,11064.0,25,16,7.2,15.0,3,2.0,5.1,5.6,0.903491669620702,True
99,Arizona,15486.0,25,15,2.2,21.0,9,0.0,6.5,6.1,0.3252138817042321,True
100,Arizona,7614.0,17,20,6.7,11.0,5,8.0,4.4,4.4,0.5879814131926645,False
101,Arizona,8539.0,17,20,6.8,13.0,5,9.0,4.3,4.6,0.3688272025741008,False
102,Arizona,14180.0,23,20,5.9,15.0,5,0.0,5.1,5.0,0.6639569333044295,False
103,Arizona,8426.0,20,19,6.2,12.0,4,1.0,4.8,4.6,0.716791144305148,True
104,Arizona,6952.0,17,19,5.8,7.0,3,0.0,4.1,4.2,0.65970715835141,False
105,Arizona,15134.0,22,18,5.7,21.0,5,2.0,5.5,5.0,0.6875335120643432,True
106,Arizona,6461.0,15,19,8.0,13.0,4,138.0,4.3,4.0,0.4811196076299545,False
107,Arizona,10068.0,25,21,5.7,13.0,5,9.0,5.0,4.8,0.7500596915142543,False
108,Arizona,14257.0,23,16,4.6,14.0,7,5.0,5.7,5.0,0.5340942007994902,True
109,Arizona,7533.0,17,20,7.5,12.0,4,16.0,4.3,4.5,0.3989706856654536,False
110,Arizona,6942.0,19,19,7.7,12.0,4,5.0,5.0,4.6,0.57867885882283,True
111,Arizona,5632.0,16,17,6.7,17.0,8,1.0,4.6,4.2,0.3166504779919227,False
112,Arizona,7945.0,18,22,7.0,15.0,4,3.0,4.3,4.4,0.6387981574539363,False
113,Arizona,6291.0,17,17,6.3,14.0,16,9.0,4.4,4.0,0.5224666075565598,True
115,Arkansas,10791.0,25,15,5.4,9.0,3,2.0,5.5,5.1,0.684043229497775,True
116,Arkansas,9989.0,26,16,5.9,10.0,5,1.0,5.6,5.4,0.6999747665909665,True
117,Arkansas,9057.0,24,18,7.2,9.0,4,0.0,4.7,4.9,0.7538439567763127,False
118,Arkansas,6080.0,19,19,8.1,10.0,2,9.0,4.3,4.4,0.6168273400493696,False
119,Arkansas,9184.0,25,17,6.8,9.0,3,3.0,5.1,5.0,0.7977094776206615,False
120,Arkansas,12357.0,25,15,6.5,11.0,4,1.0,5.6,5.2,0.6390257252326218,False
121,Arkansas,12031.0,26,16,4.6,8.0,4,0.0,5.4,5.3,0.7497708524289642,False
122,Arkansas,10103.0,22,17,7.6,13.0,3,0.0,5.0,4.8,0.6293125370856998,False
123,Arkansas,13710.0,26,14,3.1,9.0,6,0.0,5.9,5.3,0.4270046307579819,True
124,Arkansas,8398.0,21,15,5.5,9.0,3,5.0,4.8,5.0,0.5498511018463371,False
125,Arkansas,12107.0,28,17,6.5,10.0,4,0.0,5.7,5.6,0.78834651746093,True
126,Arkansas,10985.0,25,18,7.3,9.0,4,0.0,5.0,5.1,0.8145110410094637,True
127,Arkansas,9283.0,25,16,6.9,8.0,3,0.0,5.4,5.2,0.7963888888888889,True
128,Arkansas,9430.0,25,14,6.3,10.0,4,0.0,5.3,5.2,0.638347260909935,True
129,Arkansas,10390.0,25,17,6.6,8.0,4,1.0,5.1,5.4,0.6556131260794473,True
130,Arkansas,8150.0,22,15,6.7,9.0,2,5.0,5.0,5.2,0.6636545402612241,True
131,Arkansas,8225.0,24,16,7.0,10.0,3,1.0,5.4,5.2,0.7723631231580258,True
